Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,461,-,86.54,86.54,0.00,1.00,135.93,136.42,1.00,3168.69,2925.68,0.92
,,462,-,99.03,99.03,0.00,1.00,108.28,101.49,0.94,3116.65,3087.99,0.99
,,463,-,99.02,99.02,0.00,1.00,105.26,99.16,0.94,3116.95,3296.40,1.06
,,464,-,98.71,98.71,0.00,1.00,134.94,132.42,0.98,3303.11,3123.66,0.95
,,465,-,97.23,97.23,0.00,1.00,184.94,189.68,1.03,3160.76,3161.75,1.00
,,466,-,98.81,98.81,0.00,1.00,189.39,188.23,0.99,3171.06,3163.03,1.00
,,467,-,97.37,97.37,0.00,1.00,142.37,138.77,0.97,3164.63,3170.13,1.00
,,468,-,98.83,98.83,0.00,1.00,168.17,168.99,1.00,3112.68,3172.72,1.02
,,469,-,98.85,98.85,0.00,1.00,104.77,108.06,1.03,3379.82,3200.38,0.95
,,470,-,98.60,98.60,0.00,1.00,131.74,135.00,1.02,3169.48,3140.32,0.99
,,471,-,98.71,98.71,0.00,1.00,207.79,212.13,1.02,3142.48,3169.48,1.01
,,472,-,99.01,99.01,0.00,1.00,191.68,187.04,0.98,3112.79,3172.98,1.02
,,473,-,97.24,97.24,0.00,1.00,270.00,277.47,1.03,3144.57,3150.80,1.00
,,474,-,92.19,92.19,0.00,1.00,137.93,144.13,1.04,3359.18,3174.27,0.94
,,475,-,98.15,98.15,0.00,1.00,143.21,155.05,1.08,3357.93,3178.48,0.95
,,476,-,88.51,88.51,0.00,1.00,150.21,151.62,1.01,3352.93,3173.48,0.95
,,477,-,98.59,98.59,0.00,1.00,183.15,185.59,1.01,3120.03,3171.98,1.02
,,478,-,84.54,84.54,0.00,1.00,97.98,96.32,0.98,3143.59,3329.29,1.06
,,479,-,99.00,99.00,0.00,1.00,179.78,183.72,1.02,3148.81,3143.36,1.00
,,480,-,83.09,83.09,0.00,1.00,111.91,113.39,1.01,3110.82,3172.01,1.02
,,481,-,98.28,98.28,0.00,1.00,239.64,232.99,0.97,3143.89,3140.11,1.00
,,482,-,99.09,99.09,0.00,1.00,184.16,182.95,0.99,3173.52,3171.52,1.00
,,483,-,98.79,98.79,0.00,1.00,132.33,131.14,0.99,3358.61,3173.85,0.94
,,484,-,97.79,97.79,0.00,1.00,270.17,267.33,0.99,3210.66,3208.18,1.00
,,485,-,98.03,98.03,0.00,1.00,160.95,160.05,0.99,3147.37,3150.37,1.00
,,486,-,98.02,98.02,0.00,1.00,208.94,217.29,1.04,3322.16,3114.10,0.94
,,487,-,98.69,98.69,0.00,1.00,146.46,146.90,1.00,3144.94,3205.00,1.02
,,488,-,98.70,98.70,0.00,1.00,126.12,128.74,1.02,3174.85,3147.70,0.99
,,489,-,97.03,97.03,0.00,1.00,136.31,139.04,1.02,3359.13,3144.48,0.94
,,490,-,92.59,92.59,0.00,1.00,69.50,69.82,1.00,3209.29,3209.18,1.00
,,491,-,98.91,98.91,0.00,1.00,140.15,155.08,1.11,3144.61,3146.11,1.00
,,492,-,98.73,98.73,0.00,1.00,124.26,124.71,1.00,3352.83,3173.39,0.95
,,493,-,88.53,88.53,0.00,1.00,140.91,142.58,1.01,3352.58,3143.23,0.94
,,494,-,95.78,95.78,0.00,1.00,151.88,161.36,1.06,3382.99,3203.36,0.95
,,495,-,98.81,98.81,0.00,1.00,140.59,151.49,1.08,3172.14,3172.39,1.00
,,496,-,98.97,98.97,0.00,1.00,136.43,130.80,0.96,3202.54,3172.14,0.99
,,497,-,97.85,97.85,0.00,1.00,153.75,154.13,1.00,3173.39,3173.89,1.00
,,498,-,97.70,97.70,0.00,1.00,120.86,123.13,1.02,3320.18,3110.95,0.94
,,499,-,99.04,99.04,0.00,1.00,69.40,66.60,0.96,3142.98,3171.27,1.01
,,500,-,98.87,98.87,0.00,1.00,104.31,100.13,0.96,3201.04,3172.89,0.99
,,501,-,99.12,99.12,0.00,1.00,102.39,99.54,0.97,3172.14,3148.61,0.99
,,502,-,98.87,98.87,0.00,1.00,133.38,131.79,0.99,3141.23,3141.98,1.00
,,503,-,98.19,98.19,0.00,1.00,271.98,262.75,0.97,3173.93,3174.15,1.00
,,504,-,79.97,79.97,0.00,1.00,170.92,170.63,1.00,3115.99,3176.18,1.02
,,505,-,86.62,86.62,0.00,1.00,131.13,135.00,1.03,3279.52,3143.77,0.96
,,506,-,98.55,98.55,0.00,1.00,364.42,371.88,1.02,3340.86,3131.50,0.94
,,507,-,98.50,98.50,0.00,1.00,92.05,92.80,1.01,3233.38,3199.55,0.99
,,508,-,97.15,97.15,0.00,1.00,588.30,553.86,0.94,3619.63,3440.10,0.95
,,509,-,97.84,97.84,0.00,1.00,541.14,563.87,1.04,3439.16,3259.16,0.95
,,510,-,96.54,96.54,0.00,1.00,132.64,141.39,1.07,3251.55,3219.21,0.99
,,511,-,98.25,98.25,0.00,1.00,158.28,134.47,0.85,3283.25,3256.84,0.99
,,512,-,99.02,99.02,0.00,1.00,170.99,166.17,0.97,3252.00,3251.25,1.00
,,513,-,98.96,98.96,0.00,1.00,203.17,201.93,0.99,3252.76,3223.30,0.99
,,514,-,89.64,89.64,0.00,1.00,666.50,687.81,1.03,3287.96,3288.29,1.00
,,515,-,98.92,98.92,0.00,1.00,96.86,99.29,1.03,3286.29,3288.04,1.00
,,516,-,98.80,98.80,0.00,1.00,320.32,283.51,0.89,3472.32,3292.87,0.95
,,517,-,98.78,98.78,0.00,1.00,1115.93,1120.80,1.00,3260.31,3250.73,1.00
,,518,-,92.13,92.13,0.00,1.00,544.64,541.44,0.99,3253.00,3439.95,1.06
,,519,-,98.93,98.93,0.00,1.00,127.57,140.85,1.10,3224.72,3282.91,1.02
,,520,-,97.66,97.66,0.00,1.00,356.57,363.34,1.02,3464.60,3285.16,0.95
,,521,-,96.86,96.86,0.00,1.00,504.86,510.95,1.01,3254.76,3224.98,0.99
,,522,-,98.94,98.94,0.00,1.00,161.27,168.95,1.05,3282.84,3283.56,1.00
,,523,-,98.62,98.62,0.00,1.00,82.32,85.50,1.04,3321.84,3282.84,0.99
,,524,-,98.44,98.44,0.00,1.00,706.05,711.14,1.01,3252.31,3321.98,1.02
,,525,-,98.51,98.51,0.00,1.00,439.95,441.23,1.00,3273.68,3254.54,0.99
,,526,-,98.73,98.73,0.00,1.00,74.56,79.01,1.06,3471.85,3256.37,0.94
,,527,-,99.06,99.06,0.00,1.00,194.33,202.65,1.04,3284.69,3285.93,1.00
,,528,-,99.16,99.16,0.00,1.00,70.07,72.79,1.04,3290.70,3285.38,1.00
,,529,-,95.44,95.44,0.00,1.00,142.75,156.72,1.10,3470.17,3290.72,0.95
,,530,-,98.66,98.66,0.00,1.00,699.48,688.42,0.98,3286.72,3257.32,0.99
,,531,-,98.94,98.94,0.00,1.00,108.18,109.53,1.01,3223.79,3286.72,1.02
,,532,-,98.39,98.39,0.00,1.00,459.04,406.44,0.89,3262.82,3260.54,1.00
,,533,-,98.91,98.91,0.00,1.00,117.94,117.26,0.99,3286.97,3259.07,0.99
,,534,-,98.39,98.39,0.00,1.00,74.26,76.61,1.03,3468.67,3259.09,0.94
,,535,-,98.85,98.85,0.00,1.00,176.66,172.23,0.97,3119.29,3082.89,0.99
,,536,-,98.97,98.97,0.00,1.00,1140.86,1141.85,1.00,3338.69,3157.25,0.95
,,537,-,98.82,98.82,0.00,1.00,165.10,176.85,1.07,3191.35,3141.96,0.98
,,538,-,99.17,99.17,0.00,1.00,108.32,104.20,0.96,3353.42,2598.73,0.77
,,539,-,98.83,98.83,0.00,1.00,289.57,285.45,0.99,3711.53,3451.79,0.93
Reuters,Repaired,540,1,36.20,61.53,25.33,1.70,136.19,235.38,1.73,4742.16,4753.13,1.00
,,541,1,36.20,68.08,31.88,1.88,172.82,241.11,1.40,6370.18,6359.42,1.00
,,542,1,57.26,70.84,13.58,1.24,175.73,278.14,1.58,4740.97,4735.73,1.00
,,543,1,57.21,67.36,10.15,1.18,90.03,156.59,1.74,4770.00,4761.73,1.00
,,544,1,0.53,57.52,56.99,107.67,2591.11,4363.19,1.68,1823.66,1758.23,0.96
,,545,1,60.91,69.19,8.28,1.14,175.87,278.94,1.59,6371.89,6375.35,1.00
,,546,1,10.11,36.20,26.09,3.58,1285.04,4231.46,3.29,1841.11,1907.16,1.04
,,547,1,40.43,72.40,31.97,1.79,848.65,1767.29,2.08,2361.00,2403.83,1.02
,,548,1,36.20,66.83,30.63,1.85,216.16,303.91,1.41,6372.26,6378.70,1.00
,,549,1,55.83,68.74,12.91,1.23,90.10,155.69,1.73,6371.52,6372.70,1.00
,,550,2,0.53,66.38,65.85,124.25,308.96,946.55,3.06,4857.65,4879.49,1.00
,,551,1,8.86,61.84,52.98,6.98,1277.74,1676.13,1.31,2452.38,2474.48,1.01
,,552,1,36.20,62.73,26.54,1.73,1241.57,2498.16,2.01,1843.69,1922.49,1.04
,,553,1,1.16,58.64,57.48,50.65,1288.92,1711.50,1.33,2409.60,2471.23,1.03
,,554,1,10.02,62.56,52.54,6.24,1285.10,3535.60,2.75,2404.86,2474.21,1.03
,,555,1,36.20,60.24,24.04,1.66,309.58,490.17,1.58,4756.56,4755.69,1.00
,,556,1,0.93,66.52,65.58,71.14,173.72,244.16,1.41,4633.00,4687.49,1.01
,,557,1,47.91,50.22,2.32,1.05,1278.41,4778.25,3.74,2312.99,2360.14,1.02
,,558,1,36.20,62.47,26.27,1.73,310.32,428.43,1.38,4476.35,4506.79,1.01
,,559,1,50.49,67.59,17.10,1.34,220.45,350.06,1.59,3684.76,4059.10,1.10
,,560,1,29.70,57.84,28.14,1.95,1272.22,2656.26,2.09,2538.92,2585.62,1.02
,,561,1,4.76,58.24,53.47,12.22,730.41,908.98,1.24,1854.01,1926.88,1.04
,,562,1,4.19,66.03,61.84,15.78,645.01,1023.98,1.59,2247.90,2361.28,1.05
,,563,1,36.20,67.50,31.30,1.86,175.51,278.17,1.58,6570.69,6645.43,1.01
,,564,1,55.70,60.91,5.21,1.09,845.14,1728.81,2.05,2524.05,2569.25,1.02
,,565,1,57.48,66.47,8.99,1.16,113.13,195.23,1.73,6383.02,6389.03,1.00
,,566,1,36.20,69.28,33.08,1.91,174.04,242.24,1.39,6390.73,6393.76,1.00
,,567,1,5.48,61.13,55.65,11.16,898.60,1930.99,2.15,1940.73,1931.83,1.00
,,568,1,56.86,57.21,0.36,1.01,855.34,2844.38,3.33,2413.77,2481.97,1.03
,,569,1,2.32,61.18,58.86,26.42,1273.03,1714.84,1.35,2532.65,2576.10,1.02
,,570,1,0.53,59.04,58.50,110.50,1706.67,3308.97,1.94,1838.58,1857.99,1.01
,,571,1,64.34,70.21,5.88,1.09,177.66,276.47,1.56,6368.46,6357.48,1.00
,,572,1,2.32,36.20,33.88,15.63,1275.54,3700.74,2.90,2533.40,2577.60,1.02
,,573,1,3.43,48.53,45.10,14.16,1383.36,3865.88,2.79,1926.37,1963.37,1.02
,,574,1,60.33,67.63,7.30,1.12,91.77,155.20,1.69,6380.26,6379.52,1.00
,,575,1,36.20,63.18,26.98,1.75,1277.28,2504.35,1.96,2544.48,2587.68,1.02
,,576,1,37.09,63.05,25.96,1.70,262.68,415.61,1.58,6397.80,6394.42,1.00
,,577,1,36.20,49.82,13.62,1.38,1269.35,4721.50,3.72,2314.12,2355.49,1.02
,,578,1,29.92,36.20,6.28,1.21,1283.82,3487.54,2.72,2357.89,2403.09,1.02
,,579,1,38.78,50.13,11.35,1.29,1283.67,3271.91,2.55,2548.48,2598.43,1.02
,,580,1,4.50,67.28,62.78,14.96,691.65,903.36,1.31,2518.91,2560.61,1.02
,,581,1,59.75,59.71,-0.04,1.00,928.16,1834.58,1.98,2534.15,2575.85,1.02
,,582,1,0.53,61.80,61.26,115.67,1264.08,1337.76,1.06,1857.42,1856.30,1.00
,,583,1,36.20,59.17,22.97,1.63,176.10,251.06,1.43,6380.85,6392.99,1.00
,,584,1,49.24,62.47,13.22,1.27,1299.30,3391.51,2.61,1909.64,1905.59,1.00
,,585,1,0.53,62.91,62.38,117.75,1316.38,1321.00,1.00,1859.90,1869.22,1.01
,,586,1,36.20,62.78,26.58,1.73,1360.97,2614.56,1.92,1908.23,1933.12,1.01
,,587,1,2.18,63.89,61.71,29.29,1386.53,1727.90,1.25,2531.69,2589.14,1.02
,,588,1,36.20,68.83,32.64,1.90,173.10,242.79,1.40,4769.00,4779.73,1.00
,,589,1,58.10,59.08,0.98,1.02,264.02,414.39,1.57,6389.19,6374.17,1.00
,,590,1,0.53,59.97,59.44,112.25,2164.50,3878.63,1.79,1856.14,1850.34,1.00
,Failed,591,1,36.02,36.02,0.00,1.00,1484.00,1460.37,0.98,1881.61,1820.14,0.97
,Normal,592,-,37.13,37.13,0.00,1.00,1466.05,1510.32,1.03,1912.03,1927.08,1.01
,,593,-,36.15,36.15,0.00,1.00,1400.59,1471.97,1.05,1901.38,1930.53,1.02
,,594,-,36.20,36.20,0.00,1.00,1373.89,1425.19,1.04,1920.26,1930.46,1.01
,,595,-,37.40,37.40,0.00,1.00,1386.90,1415.36,1.02,1881.37,1958.51,1.04
,,596,-,61.93,61.93,0.00,1.00,921.44,951.05,1.03,2517.41,2564.15,1.02
,,597,-,36.20,36.20,0.00,1.00,1394.71,1427.77,1.02,2533.41,2573.95,1.02
,,598,-,53.61,53.61,0.00,1.00,1211.59,1251.45,1.03,1870.91,1824.38,0.98
,,599,-,38.51,38.51,0.00,1.00,1222.95,1227.37,1.00,1866.66,1855.98,0.99
,,600,-,37.58,37.58,0.00,1.00,1287.89,1309.50,1.02,1864.09,1905.27,1.02
,,601,-,36.38,36.38,0.00,1.00,1289.18,1315.98,1.02,2269.79,2330.24,1.03
,,602,-,36.20,36.20,0.00,1.00,1286.53,1303.37,1.01,2275.48,2321.40,1.02
,,603,-,36.20,36.20,0.00,1.00,642.46,652.94,1.02,2312.98,2358.59,1.02
,,604,-,36.20,36.20,0.00,1.00,1281.07,1309.43,1.02,2342.07,2345.83,1.00
,,605,-,63.58,63.58,0.00,1.00,844.76,858.07,1.02,2404.11,2468.91,1.03
,,606,-,36.20,36.20,0.00,1.00,1287.27,1310.36,1.02,2419.39,2484.41,1.03
,,607,-,54.81,54.81,0.00,1.00,864.39,880.79,1.02,2413.82,2485.10,1.03
,,608,-,54.54,54.54,0.00,1.00,3194.52,3268.44,1.02,2450.41,2492.22,1.02
,,609,-,61.00,61.00,0.00,1.00,851.92,860.75,1.01,2419.42,2519.05,1.04
,,610,-,37.04,37.04,0.00,1.00,1272.80,1282.20,1.01,2462.27,2492.13,1.01
,,611,-,36.78,36.78,0.00,1.00,1276.22,1291.40,1.01,2535.04,2576.85,1.02
,,612,-,36.20,36.20,0.00,1.00,1273.74,1296.25,1.02,2534.40,2578.86,1.02
,,613,-,37.53,37.53,0.00,1.00,1273.06,1311.71,1.03,2541.17,2588.12,1.02
,,614,-,57.66,57.66,0.00,1.00,856.17,891.60,1.04,2543.20,2582.12,1.02
,,615,-,69.32,69.32,0.00,1.00,1274.19,1305.56,1.02,2535.17,2579.12,1.02
,,616,-,61.98,61.98,0.00,1.00,851.79,873.68,1.03,2540.88,2585.83,1.02
,,617,-,40.34,40.34,0.00,1.00,1285.83,1305.62,1.02,2545.73,2588.92,1.02
,,618,-,36.11,36.11,0.00,1.00,1291.03,1314.01,1.02,2544.73,2587.93,1.02
,,619,-,63.36,63.36,0.00,1.00,863.19,888.51,1.03,2544.48,2587.93,1.02
,,620,-,36.20,36.20,0.00,1.00,1277.39,1306.29,1.02,2556.80,2622.68,1.03
,,621,-,62.11,62.11,0.00,1.00,869.84,892.35,1.03,2553.23,2592.18,1.02
,,622,-,59.35,59.35,0.00,1.00,903.64,908.03,1.00,1911.99,1931.40,1.01
,,623,-,72.26,72.26,0.00,1.00,1347.72,1361.92,1.01,1930.54,1964.54,1.02
,,624,-,67.81,67.81,0.00,1.00,177.49,177.49,1.00,4406.20,4406.20,1.00
,,625,-,65.72,65.72,0.00,1.00,313.18,313.18,1.00,4455.47,4455.47,1.00
,,626,-,66.21,66.21,0.00,1.00,91.03,91.03,1.00,4821.50,4821.50,1.00
,,627,-,68.70,68.70,0.00,1.00,320.43,320.43,1.00,6509.14,6509.14,1.00
,,628,-,68.92,68.92,0.00,1.00,178.58,178.58,1.00,6365.17,6365.17,1.00
,,629,-,65.94,65.94,0.00,1.00,91.59,91.59,1.00,6371.58,6371.58,1.00
,,630,-,68.21,68.21,0.00,1.00,178.80,178.80,1.00,6395.92,6395.92,1.00
,,631,-,66.61,66.61,0.00,1.00,267.29,267.29,1.00,6395.66,6395.66,1.00
,,632,-,60.33,60.33,0.00,1.00,312.67,312.67,1.00,6370.23,6370.23,1.00
IMDB,Repaired,633,1,50.00,86.11,36.11,1.72,3703.41,9246.12,2.50,2057.98,1854.65,0.90
,,634,1,85.32,86.45,1.13,1.01,633.86,978.21,1.54,4824.08,4818.76,1.00
,,635,1,84.70,86.85,2.15,1.03,635.50,995.24,1.57,7200.23,7274.02,1.01
,,636,1,85.02,85.32,0.31,1.00,1027.69,2345.60,2.28,2184.90,2350.32,1.08
,,637,1,85.40,86.71,1.31,1.02,1328.85,2053.96,1.55,6945.68,6955.43,1.00
,,638,1,49.38,75.49,26.11,1.53,2057.35,5177.83,2.52,2239.75,2272.59,1.01
,,639,1,85.51,83.64,-1.87,0.98,1446.27,2060.99,1.43,2264.55,2348.56,1.04
,,640,1,0.00,84.26,84.26,n.a.,8088.73,13165.97,1.63,2103.47,2095.94,1.00
,,641,1,85.81,86.82,1.01,1.01,641.24,990.92,1.55,4029.30,4514.27,1.12
,,642,1,82.81,85.82,3.01,1.04,627.12,977.84,1.56,4943.32,5251.46,1.06
,,643,1,48.75,87.34,38.58,1.79,2072.34,5676.53,2.74,2249.64,2338.01,1.04
,,644,1,48.61,84.85,36.24,1.75,388.37,3408.60,8.78,2212.64,2060.66,0.93
,,645,1,50.00,85.12,35.12,1.70,401.44,3279.04,8.17,2137.70,2283.11,1.07
,,646,1,49.42,50.00,0.58,1.01,2097.56,3675.46,1.75,2208.29,2311.86,1.05
,,647,1,50.00,86.86,36.86,1.74,630.15,974.70,1.55,5759.86,5763.81,1.00
,,648,1,50.00,86.04,36.04,1.72,6245.19,10496.69,1.68,2096.21,2090.27,1.00
,,649,1,85.20,87.31,2.11,1.02,630.89,860.00,1.36,4739.08,4681.58,0.99
,,650,1,51.01,86.40,35.39,1.69,631.81,993.47,1.57,4742.54,4748.82,1.00
,,651,1,0.00,86.26,86.26,n.a.,3956.88,8405.15,2.12,1996.23,2069.35,1.04
,,652,1,48.61,86.20,37.60,1.77,678.30,5789.11,8.53,2252.93,2256.41,1.00
,,653,1,0.00,85.93,85.93,n.a.,6592.55,12251.46,1.86,1999.56,2069.87,1.04
,,654,1,85.57,84.38,-1.20,0.99,1413.13,2069.60,1.46,2253.21,2343.60,1.04
,,655,1,49.78,86.68,36.90,1.74,1306.62,5478.55,4.19,2138.05,2317.73,1.08
,,656,1,50.00,86.65,36.65,1.73,5260.16,9258.80,1.76,2011.11,2093.58,1.04
,,657,1,0.00,86.20,86.20,n.a.,5301.10,10134.72,1.91,1997.91,2098.50,1.05
,,658,1,50.00,86.50,36.50,1.73,5303.07,8326.77,1.57,2099.40,2096.47,1.00
,,659,1,82.04,80.96,-1.08,0.99,2078.05,5961.56,2.87,2251.86,2285.11,1.01
,,660,1,49.33,86.03,36.70,1.74,670.69,6925.99,10.33,2256.18,2342.93,1.04
,,661,2,50.05,86.00,35.96,1.72,1293.04,3758.26,2.91,4870.86,5074.86,1.04
,,662,1,50.00,86.48,36.48,1.73,2062.75,5250.20,2.55,2221.71,2092.39,0.94
,,663,1,51.22,75.39,24.16,1.47,656.49,6127.97,9.33,2255.45,2343.76,1.04
,,664,1,49.12,85.22,36.10,1.73,1069.43,1307.58,1.22,2258.64,2345.51,1.04
,,665,1,50.00,86.84,36.84,1.74,3915.45,7798.38,1.99,2097.29,2064.87,0.98
,,666,1,0.00,87.08,87.08,n.a.,3982.20,8876.97,2.23,1998.46,2069.23,1.04
,,667,1,51.68,87.23,35.55,1.69,635.00,860.87,1.36,4071.04,4448.99,1.09
,Failed,668,1,0.00,0.00,0.00,n.a.,130.46,2257.56,17.30,2261.88,2348.53,1.04
,,669,1,50.00,50.00,0.00,1.00,1062.77,1480.36,1.39,2182.29,2349.58,1.08
,,670,1,0.00,0.00,0.00,n.a.,2089.21,1451.98,0.69,2184.26,2044.23,0.94
,Normal,671,-,87.38,87.38,0.00,1.00,1951.87,1984.37,1.02,2260.38,2347.84,1.04
,,672,-,83.14,83.14,0.00,1.00,2022.07,2036.58,1.01,2191.92,2088.60,0.95
,,673,-,86.87,86.87,0.00,1.00,2035.08,2050.14,1.01,2238.83,2260.66,1.01
,,674,-,87.52,87.52,0.00,1.00,2021.87,2059.31,1.02,2260.22,2343.19,1.04
,,675,-,88.73,88.73,0.00,1.00,2084.04,2104.76,1.01,2285.48,2316.48,1.01
,,676,-,86.79,86.79,0.00,1.00,2210.40,2107.84,0.95,2272.63,2362.69,1.04
,,677,-,73.77,73.77,0.00,1.00,1549.80,1570.35,1.01,2272.40,2359.53,1.04
,,678,-,74.57,74.57,0.00,1.00,1055.20,1097.91,1.04,2257.80,2344.64,1.04
,,679,-,85.53,85.53,0.00,1.00,994.94,1012.93,1.02,2240.48,2273.93,1.01
,,680,-,82.50,82.50,0.00,1.00,2040.24,2066.87,1.01,2235.98,2270.60,1.02
,,681,-,87.43,87.43,0.00,1.00,1992.50,2037.83,1.02,2205.86,2315.84,1.05
,,682,-,88.36,88.36,0.00,1.00,1912.43,1932.25,1.01,2093.07,2180.20,1.04
,,683,-,86.47,86.47,0.00,1.00,1904.57,1919.57,1.01,2099.38,2187.63,1.04
,,684,-,84.70,84.70,0.00,1.00,1074.89,1086.73,1.01,4724.26,4862.92,1.03
,,685,-,85.92,85.92,0.00,1.00,1073.17,1075.45,1.00,4915.74,4948.49,1.01
,,686,-,83.87,83.87,0.00,1.00,629.07,633.47,1.01,4946.31,4894.75,0.99
,,687,-,50.00,50.00,0.00,1.00,1314.52,1311.77,1.00,4557.62,4735.73,1.04
,,688,-,84.69,84.69,0.00,1.00,644.45,647.69,1.01,4887.50,4905.38,1.00
,,689,-,84.78,84.78,0.00,1.00,860.22,866.17,1.01,4939.20,5021.06,1.02
,,690,-,82.01,82.01,0.00,1.00,539.07,540.93,1.00,3920.01,4294.26,1.10
,,691,-,50.24,50.24,0.00,1.00,851.21,847.94,1.00,4542.40,4630.58,1.02
,,692,-,85.29,85.29,0.00,1.00,632.23,632.23,1.00,4707.04,4707.04,1.00
,,693,-,85.59,85.59,0.00,1.00,543.36,543.36,1.00,4879.15,4879.15,1.00
,,694,-,50.00,50.00,0.00,1.00,317.52,319.83,1.01,4903.10,4908.60,1.00
,,695,-,50.00,50.00,0.00,1.00,873.03,876.54,1.00,5280.17,5423.83,1.03
,,696,-,79.84,79.84,0.00,1.00,625.16,633.57,1.01,5414.70,5423.55,1.00
,,697,-,56.64,56.64,0.00,1.00,629.10,632.44,1.01,5431.77,5401.77,0.99
,,698,-,85.57,85.57,0.00,1.00,564.19,564.19,1.00,5434.78,5434.78,1.00
,,699,-,85.36,85.36,0.00,1.00,628.24,632.63,1.01,5728.14,5759.39,1.01
,,700,-,79.92,79.92,0.00,1.00,316.90,316.27,1.00,5760.29,5759.34,1.00
,,701,-,84.48,84.48,0.00,1.00,316.44,316.44,1.00,5763.24,5763.24,1.00
