Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,296,1,10.00,27.78,17.78,2.78,268.39,385.77,1.44,5357.50,6470.30,1.21
,,297,1,12.16,69.56,57.40,5.72,106.39,144.98,1.36,4445.87,3739.54,0.84
,,298,1,7.78,63.46,55.68,8.16,91.30,131.01,1.43,3898.10,3780.91,0.97
,,299,2,10.00,70.21,60.21,7.02,269.11,1398.06,5.20,2957.41,3067.98,1.04
,,300,1,7.82,65.33,57.51,8.35,360.57,618.79,1.72,3774.36,3775.61,1.00
,,301,1,67.13,69.17,2.04,1.03,92.48,140.75,1.52,5318.68,6399.81,1.20
,,302,1,10.00,62.93,52.93,6.29,285.47,415.52,1.46,3620.49,2856.27,0.79
,,303,1,11.69,50.16,38.47,4.29,130.37,235.79,1.81,3625.24,3627.49,1.00
,,304,1,10.00,64.70,54.70,6.47,82.06,112.91,1.38,4463.75,3760.61,0.84
,,305,1,8.20,66.96,58.76,8.17,170.80,245.30,1.44,3625.12,3744.81,1.03
,,306,1,10.00,67.23,57.23,6.72,244.45,317.22,1.30,3619.88,2910.36,0.80
,,307,2,10.00,67.53,57.53,6.75,110.72,196.21,1.77,5997.12,5586.88,0.93
,,308,1,70.56,68.91,-1.65,0.98,218.11,345.07,1.58,7641.48,9068.34,1.19
,,309,1,10.00,65.78,55.78,6.58,190.82,244.35,1.28,3036.72,3030.94,1.00
,,310,1,10.00,64.94,54.94,6.49,409.89,431.13,1.05,3021.97,3004.28,0.99
,,311,1,10.00,55.31,45.31,5.53,193.83,268.97,1.39,6665.30,5445.29,0.82
,,312,1,27.76,63.94,36.18,2.30,609.88,1226.80,2.01,3624.88,3624.88,1.00
,,313,1,10.00,64.96,54.96,6.50,632.30,762.98,1.21,3750.32,3630.38,0.97
,,314,1,20.23,68.27,48.04,3.37,140.58,191.98,1.37,3761.63,4348.54,1.16
,,315,1,9.23,53.72,44.49,5.82,710.74,1632.58,2.30,3632.67,3713.68,1.02
,,316,1,10.00,64.14,54.14,6.41,76.77,130.27,1.70,6206.56,6814.97,1.10
,,317,1,62.54,65.62,3.08,1.05,257.92,359.73,1.39,5467.20,6280.26,1.15
,,318,1,10.02,66.12,56.10,6.60,108.60,98.34,0.91,7576.53,9463.46,1.25
,,319,1,10.00,63.73,53.73,6.37,317.07,397.52,1.25,2877.48,2801.03,0.97
,,320,1,13.96,60.10,46.14,4.31,288.55,344.56,1.19,3664.96,3776.63,1.03
,,321,1,8.08,67.09,59.01,8.30,410.70,495.30,1.21,3677.52,3796.75,1.03
,,322,1,10.36,68.16,57.80,6.58,117.71,124.39,1.06,9947.95,11121.49,1.12
,,323,1,10.00,67.01,57.01,6.70,83.49,114.78,1.37,3748.03,4452.91,1.19
,,324,1,57.63,67.46,9.83,1.17,86.91,127.66,1.47,7964.12,9368.84,1.18
,,325,1,18.66,67.72,49.06,3.63,139.77,195.03,1.40,4479.48,3776.35,0.84
,,326,1,10.00,65.03,55.03,6.50,139.73,221.42,1.58,2866.38,2922.94,1.02
,,327,2,10.00,71.73,61.73,7.17,73.48,1180.53,16.07,4477.29,3774.16,0.84
,,328,1,10.00,57.30,47.30,5.73,91.50,95.87,1.05,6643.36,3821.68,0.58
,,329,1,9.20,58.80,49.60,6.39,276.82,490.17,1.77,3754.27,3624.95,0.97
,,330,1,32.91,58.21,25.30,1.77,386.55,1032.43,2.67,4445.45,3742.31,0.84
,,331,1,68.35,68.37,0.02,1.00,177.47,220.94,1.24,8657.35,10065.75,1.16
,,332,1,9.98,59.97,49.99,6.01,62.26,63.06,1.01,7936.52,9426.83,1.19
,,333,1,10.00,67.43,57.43,6.74,214.44,295.44,1.38,3589.40,2817.81,0.79
,,334,1,10.00,62.90,52.90,6.29,93.86,141.58,1.51,5373.99,5783.97,1.08
,,335,1,23.12,66.37,43.25,2.87,140.52,201.88,1.44,4455.06,3750.08,0.84
,,336,1,8.25,70.29,62.04,8.52,56.69,85.30,1.50,3778.36,3661.16,0.97
,,337,1,10.00,67.61,57.61,6.76,223.23,302.93,1.36,3025.79,2969.68,0.98
,,338,2,10.00,67.53,57.53,6.75,90.77,168.46,1.86,6079.32,4065.87,0.67
,,339,2,10.00,69.60,59.60,6.96,591.28,2484.26,4.20,2933.16,2933.64,1.00
,,340,1,23.96,44.36,20.40,1.85,686.60,1768.79,2.58,3627.28,3625.29,1.00
,,341,1,10.00,66.36,56.36,6.64,255.69,334.65,1.31,2861.67,3036.07,1.06
,,342,1,10.00,67.14,57.14,6.71,186.38,258.79,1.39,3033.26,2861.93,0.94
,,343,1,7.95,68.55,60.60,8.62,138.32,187.22,1.35,4359.55,3656.41,0.84
,,344,1,8.12,65.38,57.26,8.05,93.24,129.31,1.39,3744.07,5034.64,1.34
,,345,1,10.00,61.24,51.24,6.12,71.42,117.45,1.64,5211.63,6311.67,1.21
,,346,1,44.00,60.59,16.59,1.38,63.28,65.39,1.03,11345.60,8071.16,0.71
,,347,1,20.35,65.75,45.40,3.23,156.96,280.36,1.79,4196.81,3431.49,0.82
,,348,1,10.05,63.42,53.37,6.31,68.11,65.51,0.96,9890.96,11122.88,1.12
,,349,1,10.00,63.54,53.54,6.35,239.71,366.30,1.53,3643.41,3761.35,1.03
,,350,1,10.00,66.41,56.41,6.64,86.10,124.48,1.45,4477.99,3774.86,0.84
,,351,2,10.00,68.33,58.33,6.83,402.15,2482.89,6.17,3047.04,2852.75,0.94
,,352,1,57.72,68.69,10.97,1.19,73.80,139.98,1.90,4359.05,3655.91,0.84
,,353,1,14.59,66.20,51.61,4.54,238.85,308.94,1.29,3768.30,3761.85,1.00
,,354,1,10.00,66.20,56.20,6.62,180.68,235.23,1.30,2904.98,3017.37,1.04
,,355,1,10.00,56.57,46.57,5.66,57.07,86.25,1.51,5696.55,6285.04,1.10
,,356,1,10.00,64.20,54.20,6.42,254.18,315.48,1.24,3627.62,3632.37,1.00
,,357,1,10.00,66.89,56.89,6.69,177.86,218.38,1.23,11070.93,7434.35,0.67
,Failed,358,1,10.00,10.00,0.00,1.00,382.79,492.60,1.29,3777.13,3777.13,1.00
,,359,2,10.00,10.00,0.00,1.00,186.52,419.96,2.25,6316.59,6301.32,1.00
,Normal,360,-,65.37,65.37,0.00,1.00,342.88,319.32,0.93,4452.31,3749.12,0.84
,,361,-,56.56,56.56,0.00,1.00,236.45,244.89,1.04,3749.78,3753.79,1.00
,,362,-,67.20,67.20,0.00,1.00,79.15,78.88,1.00,3623.91,4329.16,1.19
,,363,-,60.23,60.23,0.00,1.00,228.07,244.09,1.07,4444.46,3741.33,0.84
,,364,-,62.55,62.55,0.00,1.00,173.73,174.60,1.00,3632.24,3741.17,1.03
,,365,-,55.95,55.95,0.00,1.00,271.11,269.05,0.99,3626.29,3742.98,1.03
,,366,-,67.77,67.77,0.00,1.00,171.30,174.12,1.02,3629.85,3624.35,1.00
,,367,-,67.79,67.79,0.00,1.00,176.35,173.60,0.98,3633.66,3750.80,1.03
,,368,-,67.50,67.50,0.00,1.00,99.19,99.81,1.01,4336.00,3632.87,0.84
,,369,-,68.00,68.00,0.00,1.00,172.86,171.19,0.99,3633.88,3742.31,1.03
,,370,-,67.59,67.59,0.00,1.00,98.59,100.61,1.02,3643.39,4348.02,1.19
,,371,-,67.15,67.15,0.00,1.00,121.75,118.16,0.97,3760.58,4346.52,1.16
,,372,-,68.95,68.95,0.00,1.00,172.84,176.28,1.02,3770.54,3647.14,0.97
,,373,-,54.41,54.41,0.00,1.00,79.52,84.65,1.06,3761.84,3764.09,1.00
,,374,-,37.74,37.74,0.00,1.00,145.93,147.76,1.01,3762.59,3881.29,1.03
,,375,-,68.41,68.41,0.00,1.00,115.93,123.41,1.06,4347.54,3663.90,0.84
,,376,-,69.40,69.40,0.00,1.00,103.07,104.06,1.01,3644.16,3769.10,1.03
,,377,-,68.85,68.85,0.00,1.00,98.81,98.17,0.99,4469.23,3766.10,0.84
,,378,-,69.12,69.12,0.00,1.00,160.67,156.71,0.98,3642.41,3644.16,1.00
,,379,-,64.56,64.56,0.00,1.00,68.85,70.95,1.03,4481.54,3761.05,0.84
,,380,-,58.28,58.28,0.00,1.00,99.61,105.82,1.06,3778.43,3658.91,0.97
,,381,-,63.25,63.25,0.00,1.00,70.50,69.59,0.99,4484.98,3781.85,0.84
,,382,-,43.75,43.75,0.00,1.00,260.51,258.30,0.99,4483.36,3774.03,0.84
,,383,-,69.73,69.73,0.00,1.00,160.82,160.23,1.00,3656.41,3657.91,1.00
,,384,-,68.56,68.56,0.00,1.00,244.74,232.25,0.95,3654.91,4476.24,1.22
,,385,-,44.02,44.02,0.00,1.00,163.66,158.76,0.97,3694.32,3772.11,1.02
,,386,-,64.81,64.81,0.00,1.00,80.73,85.93,1.06,3774.86,4364.30,1.16
,,387,-,69.95,69.95,0.00,1.00,153.53,163.25,1.06,3778.40,3658.93,0.97
,,388,-,68.19,68.19,0.00,1.00,99.35,98.74,0.99,4485.52,3782.38,0.84
,,389,-,68.67,68.67,0.00,1.00,119.36,118.75,0.99,4366.07,3662.94,0.84
,,390,-,63.21,63.21,0.00,1.00,115.37,118.38,1.03,3659.43,3660.93,1.00
,,391,-,68.06,68.06,0.00,1.00,97.00,105.45,1.09,4478.79,3775.66,0.84
,,392,-,61.26,61.26,0.00,1.00,74.83,76.42,1.02,3777.40,4017.39,1.06
,,393,-,67.24,67.24,0.00,1.00,137.34,139.30,1.01,4360.60,3692.73,0.85
,,394,-,67.62,67.62,0.00,1.00,102.61,102.27,1.00,3657.42,3775.41,1.03
MNIST,Repaired,395,1,26.69,99.02,72.33,3.71,254.69,453.57,1.78,3258.00,3251.76,1.00
,,396,2,11.35,98.36,87.01,8.67,420.53,2540.02,6.04,3437.79,3258.34,0.95
,,397,1,98.60,99.18,0.58,1.01,91.74,137.01,1.49,3365.71,3672.78,1.09
,,398,1,9.50,99.07,89.57,10.43,123.55,225.97,1.83,3143.98,3356.33,1.07
,,399,1,99.16,99.29,0.13,1.00,119.67,166.53,1.39,3588.25,3174.85,0.88
,,400,1,11.35,98.10,86.75,8.64,242.75,381.38,1.57,2485.84,2486.34,1.00
,,401,1,11.76,98.91,87.15,8.41,70.82,112.45,1.59,3352.63,3322.72,0.99
,,402,1,22.05,99.21,77.16,4.50,152.95,220.48,1.44,3351.43,3142.08,0.94
,,403,1,11.55,97.72,86.17,8.46,295.76,917.03,3.10,3474.32,3294.87,0.95
,,404,1,9.54,99.17,89.63,10.40,151.17,250.63,1.66,3185.36,3185.61,1.00
,,405,1,11.35,98.81,87.46,8.71,211.94,308.41,1.46,2341.55,2333.30,1.00
,,406,1,73.68,99.19,25.51,1.35,132.88,208.74,1.57,3053.52,3235.17,1.06
,,407,2,11.35,98.76,87.41,8.70,170.94,925.67,5.42,3141.23,3171.89,1.01
,,408,1,10.09,98.43,88.34,9.76,139.99,183.92,1.31,3354.83,3145.48,0.94
,,409,1,11.35,99.11,87.76,8.73,254.68,507.00,1.99,2475.90,2444.18,0.99
,,410,1,11.35,96.06,84.71,8.46,198.51,336.06,1.69,2428.64,2407.28,0.99
,,411,1,98.97,99.27,0.30,1.00,400.56,590.36,1.47,3023.67,3470.20,1.15
,,412,1,14.07,98.38,84.31,6.99,66.07,101.34,1.53,3352.33,3142.98,0.94
,,413,1,11.35,98.92,87.57,8.72,169.78,241.22,1.42,2398.03,2383.01,0.99
,,414,2,10.32,96.79,86.47,9.38,120.46,721.08,5.99,3323.80,3144.36,0.95
,,415,1,11.35,99.08,87.73,8.73,138.83,241.15,1.74,3205.50,3175.59,0.99
,,416,1,98.44,99.19,0.75,1.01,284.67,436.09,1.53,3726.69,3378.94,0.91
,,417,1,10.09,99.04,88.95,9.82,146.16,178.92,1.22,3473.26,2741.67,0.79
,,418,1,98.84,99.19,0.35,1.00,235.21,351.96,1.50,2873.49,3316.99,1.15
,,419,1,9.80,98.73,88.93,10.07,99.99,101.78,1.02,3265.32,2916.77,0.89
,,420,1,88.44,98.79,10.35,1.12,267.11,401.37,1.50,3226.07,3188.81,0.99
,,421,1,99.04,99.28,0.24,1.00,98.56,141.85,1.44,3337.73,3316.60,0.99
,,422,1,11.35,99.06,87.71,8.73,120.53,210.88,1.75,3141.61,3144.11,1.00
,,423,2,10.32,97.33,87.01,9.43,71.16,289.85,4.07,3332.39,3152.95,0.95
,,424,1,99.09,99.28,0.19,1.00,42.90,62.46,1.46,3138.54,3804.11,1.21
,,425,1,9.33,99.07,89.74,10.62,148.82,212.36,1.43,3084.37,3083.77,1.00
,,426,1,98.13,98.93,0.80,1.01,66.47,107.74,1.62,3338.69,3653.81,1.09
,,427,1,98.86,99.35,0.49,1.00,77.05,116.83,1.52,3503.58,3948.19,1.13
,,428,1,9.52,99.01,89.49,10.40,107.77,163.18,1.51,3351.68,3142.33,0.94
,,429,1,11.35,97.77,86.42,8.61,216.69,342.31,1.58,2469.23,2426.66,0.98
,,430,1,98.46,99.08,0.62,1.01,59.56,94.54,1.59,3467.04,3315.67,0.96
,,431,1,98.04,98.95,0.91,1.01,33.11,53.66,1.62,3457.16,3236.24,0.94
,,432,1,16.14,98.91,82.77,6.13,65.40,123.88,1.89,3347.91,3138.69,0.94
,,433,1,9.80,99.14,89.34,10.12,430.76,455.74,1.06,3517.21,3349.57,0.95
,,434,1,9.80,99.05,89.25,10.11,36.15,43.77,1.21,3897.11,3700.47,0.95
,,435,1,98.71,99.25,0.54,1.01,87.11,130.13,1.49,3323.98,3561.55,1.07
,,436,1,8.89,99.06,90.17,11.14,28.69,36.99,1.29,3523.83,4080.47,1.16
,,437,1,11.35,96.82,85.47,8.53,215.59,346.28,1.61,2417.84,2376.07,0.98
,,438,1,95.43,99.00,3.57,1.04,51.41,76.98,1.50,3266.63,3536.57,1.08
,,439,1,98.79,99.25,0.46,1.00,91.04,136.49,1.50,3493.62,4308.49,1.23
,,440,1,11.35,98.86,87.51,8.71,255.15,438.11,1.72,2454.67,2478.24,1.01
,,441,1,98.77,99.15,0.38,1.00,311.78,451.62,1.45,3331.21,3234.07,0.97
,,442,1,11.35,98.81,87.46,8.71,276.83,430.52,1.56,2350.55,2317.35,0.99
,,443,1,11.35,99.07,87.72,8.73,190.17,313.81,1.65,3174.85,3145.36,0.99
,,444,1,11.35,98.92,87.57,8.72,960.41,1332.98,1.39,3258.27,3434.26,1.05
,,445,1,98.58,99.24,0.66,1.01,122.15,181.61,1.49,3165.04,3294.14,1.04
,,446,1,16.10,99.11,83.01,6.16,115.23,179.50,1.56,3350.58,3171.14,0.95
,,447,1,99.12,99.34,0.22,1.00,93.36,135.99,1.46,4131.60,2695.69,0.65
,,448,1,97.90,98.84,0.94,1.01,29.62,49.02,1.66,3033.92,3107.71,1.02
,,449,1,12.19,99.12,86.93,8.13,90.06,123.99,1.38,3260.56,3413.00,1.05
,,450,1,9.80,98.82,89.02,10.08,396.60,798.83,2.01,3389.34,3208.33,0.95
,,451,2,9.80,98.99,89.19,10.10,365.55,2294.69,6.28,3283.42,3283.67,1.00
,,452,1,10.28,98.67,88.39,9.60,272.09,577.08,2.12,3465.10,3285.52,0.95
,,453,1,35.08,98.73,63.65,2.81,331.44,365.42,1.10,3475.25,3286.04,0.95
,,454,1,98.60,99.23,0.63,1.01,78.16,119.47,1.53,3892.23,3502.38,0.90
,,455,1,98.39,99.18,0.79,1.01,34.67,48.84,1.41,2930.73,3814.31,1.30
,,456,1,9.54,99.02,89.48,10.38,499.86,761.79,1.52,3461.80,3282.36,0.95
,,457,1,10.32,98.55,88.23,9.55,105.31,156.25,1.48,3173.23,3173.23,1.00
,,458,1,98.80,99.24,0.44,1.00,68.61,102.74,1.50,3553.95,3813.89,1.07
,,459,1,97.56,98.82,1.26,1.01,40.31,76.37,1.89,3996.26,3342.43,0.84
,Normal,460,-,98.79,98.79,0.00,1.00,173.85,173.47,1.00,3203.96,3198.19,1.00
