Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,290,1,10.09,98.67,88.58,8.78,139.99,183.92,1.31,3354.83,3145.48,0.94
,,291,2,11.35,99.07,87.72,7.73,170.94,925.67,5.42,3141.23,3171.89,1.01
,,292,1,16.10,98.64,82.54,5.13,115.23,179.50,1.56,3350.58,3171.14,0.95
,,293,1,11.76,99.16,87.40,7.43,70.82,112.45,1.59,3352.63,3322.72,0.99
,,294,1,12.19,99.25,87.06,7.14,90.06,123.99,1.38,3260.56,3413.00,1.05
,,295,1,9.80,99.15,89.35,9.12,396.60,798.83,2.01,3389.34,3208.33,0.95
,,296,1,88.44,99.12,10.68,0.12,267.11,401.37,1.50,3226.07,3188.81,0.99
,,297,2,11.35,98.84,87.49,7.71,420.53,2540.02,6.04,3437.79,3258.34,0.95
,,298,1,10.28,99.07,88.79,8.64,272.09,577.08,2.12,3465.10,3285.52,0.95
,,299,1,35.08,98.89,63.81,1.82,331.44,365.42,1.10,3475.25,3286.04,0.95
,,300,1,11.55,98.71,87.16,7.55,295.76,917.03,3.10,3474.32,3294.87,0.95
,,301,1,9.54,99.27,89.73,9.41,499.86,761.79,1.52,3461.80,3282.36,0.95
,,302,1,26.69,99.08,72.39,2.71,254.69,453.57,1.78,3258.00,3251.76,1.00
,,303,2,9.80,99.20,89.40,9.12,365.55,2294.69,6.28,3283.42,3283.67,1.00
,,304,1,11.35,99.04,87.69,7.73,960.41,1332.98,1.39,3258.27,3434.26,1.05
,,305,1,11.35,99.09,87.74,7.73,211.94,308.41,1.46,2341.55,2333.30,1.00
,,306,1,11.35,99.05,87.70,7.73,169.78,241.22,1.42,2398.03,2383.01,0.99
,,307,1,11.35,99.11,87.76,7.73,254.68,507.00,1.99,2475.90,2444.18,0.99
,,308,1,11.35,99.04,87.69,7.73,255.15,438.11,1.72,2454.67,2478.24,1.01
,,309,1,11.35,99.05,87.70,7.73,242.75,381.38,1.57,2485.84,2486.34,1.00
,,310,1,11.35,98.81,87.46,7.71,276.83,430.52,1.56,2350.55,2317.35,0.99
,,311,1,11.35,97.26,85.91,7.57,198.51,336.06,1.69,2428.64,2407.28,0.99
,,312,1,11.35,98.83,87.48,7.71,216.69,342.31,1.58,2469.23,2426.66,0.98
,,313,1,11.35,97.46,86.11,7.59,215.59,346.28,1.61,2417.84,2376.07,0.98
,Normal,314,-,98.79,-,-,-,173.85,173.47,1.00,3203.96,3198.19,1.00
,,315,-,86.54,-,-,-,135.93,136.42,1.00,3168.69,2925.68,0.92
,,316,-,99.03,-,-,-,108.28,101.49,0.94,3116.65,3087.99,0.99
,,317,-,99.02,-,-,-,105.26,99.16,0.94,3116.95,3296.40,1.06
,,318,-,98.71,-,-,-,134.94,132.42,0.98,3303.11,3123.66,0.95
,,319,-,97.23,-,-,-,184.94,189.68,1.03,3160.76,3161.75,1.00
,,320,-,98.81,-,-,-,189.39,188.23,0.99,3171.06,3163.03,1.00
,,321,-,97.37,-,-,-,142.37,138.77,0.97,3164.63,3170.13,1.00
,,322,-,98.83,-,-,-,168.17,168.99,1.00,3112.68,3172.72,1.02
,,323,-,98.85,-,-,-,104.77,108.06,1.03,3379.82,3200.38,0.95
,,324,-,98.60,-,-,-,131.74,135.00,1.02,3169.48,3140.32,0.99
,,325,-,98.71,-,-,-,207.79,212.13,1.02,3142.48,3169.48,1.01
,,326,-,99.01,-,-,-,191.68,187.04,0.98,3112.79,3172.98,1.02
,,327,-,97.24,-,-,-,270.00,277.47,1.03,3144.57,3150.80,1.00
,,328,-,92.19,-,-,-,137.93,144.13,1.04,3359.18,3174.27,0.94
,,329,-,98.15,-,-,-,143.21,155.05,1.08,3357.93,3178.48,0.95
,,330,-,88.51,-,-,-,150.21,151.62,1.01,3352.93,3173.48,0.95
,,331,-,98.59,-,-,-,183.15,185.59,1.01,3120.03,3171.98,1.02
,,332,-,84.54,-,-,-,97.98,96.32,0.98,3143.59,3329.29,1.06
,,333,-,99.00,-,-,-,179.78,183.72,1.02,3148.81,3143.36,1.00
,,334,-,83.09,-,-,-,111.91,113.39,1.01,3110.82,3172.01,1.02
,,335,-,98.28,-,-,-,239.64,232.99,0.97,3143.90,3140.11,1.00
,,336,-,99.09,-,-,-,184.16,182.95,0.99,3173.52,3171.52,1.00
,,337,-,98.79,-,-,-,132.33,131.14,0.99,3358.61,3173.85,0.94
,,338,-,97.79,-,-,-,270.17,267.33,0.99,3210.67,3208.18,1.00
,,339,-,98.03,-,-,-,160.95,160.05,0.99,3147.37,3150.37,1.00
,,340,-,98.02,-,-,-,208.94,217.29,1.04,3322.16,3114.10,0.94
,,341,-,98.69,-,-,-,146.46,146.90,1.00,3144.94,3205.00,1.02
,,342,-,98.70,-,-,-,126.12,128.74,1.02,3174.85,3147.70,0.99
,,343,-,97.03,-,-,-,136.31,139.04,1.02,3359.13,3144.48,0.94
,,344,-,92.59,-,-,-,69.50,69.82,1.00,3209.29,3209.18,1.00
,,345,-,98.91,-,-,-,140.15,155.08,1.11,3144.61,3146.11,1.00
,,346,-,98.73,-,-,-,124.26,124.71,1.00,3352.83,3173.39,0.95
,,347,-,88.53,-,-,-,140.91,142.58,1.01,3352.58,3143.23,0.94
,,348,-,95.78,-,-,-,151.88,161.36,1.06,3382.99,3203.36,0.95
,,349,-,98.81,-,-,-,140.59,151.49,1.08,3172.14,3172.39,1.00
,,350,-,98.97,-,-,-,136.43,130.80,0.96,3202.54,3172.14,0.99
,,351,-,97.85,-,-,-,153.75,154.13,1.00,3173.39,3173.89,1.00
,,352,-,97.70,-,-,-,120.86,123.13,1.02,3320.18,3110.95,0.94
,,353,-,99.04,-,-,-,69.40,66.60,0.96,3142.98,3171.27,1.01
,,354,-,98.87,-,-,-,104.31,100.13,0.96,3201.04,3172.89,0.99
,,355,-,99.12,-,-,-,102.39,99.54,0.97,3172.14,3148.61,0.99
,,356,-,98.87,-,-,-,133.38,131.79,0.99,3141.23,3141.98,1.00
,,357,-,98.19,-,-,-,271.98,262.75,0.97,3173.93,3174.15,1.00
,,358,-,79.97,-,-,-,170.92,170.63,1.00,3115.99,3176.18,1.02
,,359,-,86.62,-,-,-,131.13,135.00,1.03,3279.52,3143.77,0.96
,,360,-,98.55,-,-,-,364.42,371.88,1.02,3340.86,3131.50,0.94
,,361,-,98.50,-,-,-,92.05,92.80,1.01,3233.38,3199.55,0.99
,,362,-,97.15,-,-,-,588.30,553.86,0.94,3619.63,3440.10,0.95
,,363,-,97.84,-,-,-,541.14,563.87,1.04,3439.16,3259.16,0.95
,,364,-,96.54,-,-,-,132.64,141.39,1.07,3251.55,3219.21,0.99
,,365,-,98.25,-,-,-,158.28,134.47,0.85,3283.25,3256.84,0.99
,,366,-,99.02,-,-,-,170.99,166.17,0.97,3252.00,3251.25,1.00
,,367,-,98.96,-,-,-,203.17,201.93,0.99,3252.76,3223.30,0.99
,,368,-,89.64,-,-,-,666.50,687.81,1.03,3287.96,3288.29,1.00
,,369,-,98.92,-,-,-,96.86,99.29,1.03,3286.29,3288.04,1.00
,,370,-,98.80,-,-,-,320.32,283.51,0.89,3472.32,3292.87,0.95
,,371,-,98.78,-,-,-,1115.93,1120.80,1.00,3260.31,3250.73,1.00
,,372,-,92.13,-,-,-,544.64,541.44,0.99,3253.00,3439.95,1.06
,,373,-,98.93,-,-,-,127.57,140.85,1.10,3224.72,3282.91,1.02
,,374,-,97.66,-,-,-,356.57,363.34,1.02,3464.60,3285.16,0.95
,,375,-,96.86,-,-,-,504.86,510.95,1.01,3254.76,3224.98,0.99
,,376,-,98.94,-,-,-,161.27,168.95,1.05,3282.84,3283.56,1.00
,,377,-,98.62,-,-,-,82.32,85.50,1.04,3321.84,3282.84,0.99
,,378,-,98.44,-,-,-,706.05,711.14,1.01,3252.31,3321.98,1.02
,,379,-,98.51,-,-,-,439.95,441.23,1.00,3273.68,3254.54,0.99
,,380,-,98.73,-,-,-,74.56,79.01,1.06,3471.85,3256.37,0.94
,,381,-,99.06,-,-,-,194.33,202.65,1.04,3284.70,3285.93,1.00
,,382,-,99.16,-,-,-,70.07,72.79,1.04,3290.70,3285.39,1.00
,,383,-,95.44,-,-,-,142.75,156.72,1.10,3470.17,3290.72,0.95
,,384,-,98.66,-,-,-,699.48,688.42,0.98,3286.72,3257.32,0.99
,,385,-,98.94,-,-,-,108.18,109.53,1.01,3223.79,3286.72,1.02
,,386,-,98.39,-,-,-,459.04,406.44,0.89,3262.82,3260.54,1.00
,,387,-,98.91,-,-,-,117.94,117.26,0.99,3286.97,3259.07,0.99
,,388,-,98.39,-,-,-,74.26,76.61,1.03,3468.67,3259.09,0.94
,,389,-,98.85,-,-,-,176.66,172.23,0.97,3119.29,3082.89,0.99
,,390,-,98.97,-,-,-,1140.86,1141.86,1.00,3338.69,3157.25,0.95
,,391,-,98.82,-,-,-,165.10,176.85,1.07,3191.35,3141.97,0.98
Reuters,Repaired,392,1,2.32,36.46,34.15,14.75,1275.54,3700.74,2.90,2533.40,2577.60,1.02
,,393,1,36.20,63.45,27.25,0.75,1360.97,2614.56,1.92,1908.23,1933.12,1.01
,,394,1,40.43,72.40,31.97,0.79,848.65,1767.29,2.08,2361.00,2403.83,1.02
,,395,1,55.70,63.98,8.28,0.15,845.14,1728.81,2.05,2524.05,2569.25,1.02
,,396,1,5.48,61.84,56.37,10.29,898.60,1930.99,2.15,1940.73,1931.83,1.00
,,397,1,3.43,48.53,45.10,13.16,1383.36,3865.88,2.79,1926.37,1963.37,1.02
,,398,1,8.86,61.84,52.98,5.98,1277.74,1676.13,1.31,2452.38,2474.48,1.01
,,399,1,56.86,57.30,0.45,0.01,855.34,2844.38,3.33,2413.77,2481.97,1.03
,,400,1,49.24,63.05,13.80,0.28,1299.30,3391.51,2.61,1909.64,1905.59,1.00
,,401,1,1.16,60.06,58.90,50.88,1288.92,1711.50,1.33,2409.60,2471.23,1.03
,,402,1,2.18,63.22,61.04,27.98,1386.53,1727.90,1.25,2531.69,2589.14,1.02
,,403,1,4.50,65.89,61.40,13.65,691.65,903.36,1.31,2518.91,2560.61,1.02
,,404,1,36.20,63.18,26.98,0.75,1277.28,2504.35,1.96,2544.48,2587.68,1.02
,,405,1,36.20,63.13,26.94,0.74,1241.57,2498.16,2.01,1843.69,1922.49,1.04
,,406,1,59.75,62.29,2.54,0.04,928.16,1834.58,1.98,2534.15,2575.85,1.02
,,407,1,29.92,38.69,8.77,0.29,1283.82,3487.54,2.72,2357.89,2403.09,1.02
,,408,1,4.19,66.74,62.56,14.95,645.01,1023.98,1.59,2247.90,2361.28,1.05
,,409,1,10.02,62.64,52.63,5.25,1285.10,3535.60,2.75,2404.86,2474.21,1.03
,,410,1,4.76,59.44,54.67,11.48,730.41,908.98,1.24,1854.01,1926.88,1.04
,,411,1,2.32,62.73,60.42,26.10,1273.03,1714.84,1.35,2532.65,2576.10,1.02
,,412,1,36.20,50.00,13.80,0.38,1269.35,4721.50,3.72,2314.12,2355.49,1.02
,,413,1,10.11,36.82,26.71,2.64,1285.04,4231.46,3.29,1841.11,1907.16,1.04
,,414,1,38.78,52.58,13.80,0.36,1283.67,3271.91,2.55,2548.48,2598.43,1.02
,,415,1,47.91,52.45,4.54,0.09,1278.41,4778.25,3.74,2312.99,2360.14,1.02
,,416,1,29.70,57.44,27.74,0.93,1272.22,2656.26,2.09,2538.92,2585.62,1.02
,,417,1,0.00,58.46,58.46,108.42,2591.11,4363.19,1.68,1823.66,1758.23,0.96
,,418,1,0.00,60.69,60.69,112.58,2164.50,3878.63,1.79,1856.14,1850.34,1.00
,,419,1,0.00,62.91,62.91,116.75,1316.38,1321.00,1.00,1859.90,1869.22,1.01
,,420,1,0.00,59.66,59.66,110.67,1706.67,3308.97,1.94,1838.58,1857.99,1.01
,,421,1,0.00,62.29,62.29,115.58,1264.08,1337.76,1.06,1857.42,1856.30,1.00
,,422,1,50.00,86.04,36.04,0.72,6245.19,10496.69,1.68,2096.21,2090.27,1.00
,Failed,423,1,36.02,36.02,0.00,0.00,1484.00,1460.37,0.98,1881.61,1820.14,0.97
,Normal,424,-,47.13,-,-,-,1466.05,1510.32,1.03,1912.03,1927.08,1.01
,,425,-,46.15,-,-,-,1400.59,1471.97,1.05,1901.38,1930.53,1.02
,,426,-,46.20,-,-,-,1373.89,1425.19,1.04,1920.26,1930.46,1.01
,,427,-,47.40,-,-,-,1386.90,1415.36,1.02,1881.37,1958.51,1.04
,,428,-,61.93,-,-,-,921.44,951.05,1.03,2517.41,2564.15,1.02
,,429,-,46.20,-,-,-,1394.71,1427.77,1.02,2533.42,2573.95,1.02
,,430,-,53.61,-,-,-,1211.59,1251.45,1.03,1870.92,1824.38,0.98
,,431,-,48.51,-,-,-,1222.95,1227.37,1.00,1866.66,1855.98,0.99
,,432,-,47.58,-,-,-,1287.89,1309.50,1.02,1864.09,1905.27,1.02
,,433,-,46.38,-,-,-,1289.18,1315.98,1.02,2269.79,2330.24,1.03
,,434,-,46.20,-,-,-,1286.53,1303.37,1.01,2275.48,2321.40,1.02
,,435,-,46.20,-,-,-,642.46,652.94,1.02,2312.98,2358.59,1.02
,,436,-,46.20,-,-,-,1281.07,1309.43,1.02,2342.07,2345.83,1.00
,,437,-,63.58,-,-,-,844.76,858.07,1.02,2404.11,2468.91,1.03
,,438,-,46.20,-,-,-,1287.27,1310.36,1.02,2419.39,2484.41,1.03
,,439,-,54.81,-,-,-,864.39,880.79,1.02,2413.82,2485.10,1.03
,,440,-,54.54,-,-,-,3194.52,3268.44,1.02,2450.41,2492.22,1.02
,,441,-,61.00,-,-,-,851.92,860.75,1.01,2419.42,2519.05,1.04
,,442,-,47.04,-,-,-,1272.80,1282.20,1.01,2462.27,2492.13,1.01
,,443,-,46.78,-,-,-,1276.22,1291.40,1.01,2535.04,2576.85,1.02
,,444,-,46.20,-,-,-,1273.74,1296.25,1.02,2534.40,2578.86,1.02
,,445,-,47.53,-,-,-,1273.06,1311.71,1.03,2541.17,2588.12,1.02
,,446,-,57.66,-,-,-,856.17,891.60,1.04,2543.20,2582.12,1.02
,,447,-,69.32,-,-,-,1274.19,1305.56,1.02,2535.17,2579.12,1.02
,,448,-,61.98,-,-,-,851.79,873.68,1.03,2540.88,2585.83,1.02
,,449,-,40.34,-,-,-,1285.83,1305.62,1.02,2545.73,2588.92,1.02
,,450,-,46.11,-,-,-,1291.03,1314.01,1.02,2544.73,2587.93,1.02
,,451,-,53.36,-,-,-,863.19,888.51,1.03,2544.48,2587.93,1.02
,,452,-,46.20,-,-,-,1277.39,1306.30,1.02,2556.80,2622.68,1.03
,,453,-,62.11,-,-,-,869.84,892.35,1.03,2553.23,2592.18,1.02
,,454,-,59.35,-,-,-,903.64,908.03,1.00,1911.99,1931.40,1.01
,,455,-,62.26,-,-,-,1347.72,1361.92,1.01,1930.54,1964.54,1.02
IMDB,Repaired,456,1,85.51,84.96,-0.55,-0.01,1446.27,2060.99,1.43,2264.55,2348.56,1.04
,,457,1,51.22,75.39,24.16,0.47,656.49,6127.97,9.33,2255.45,2343.76,1.04
,,458,1,48.61,86.20,37.60,0.77,678.30,5789.11,8.53,2252.93,2256.41,1.00
,,459,1,48.61,85.90,37.29,0.77,388.37,3408.60,8.78,2212.64,2060.66,0.93
,,460,1,50.00,85.12,35.12,0.70,401.44,3279.04,8.17,2137.70,2283.11,1.07
,,461,1,49.33,86.03,36.70,0.74,670.69,6925.99,10.33,2256.18,2342.93,1.04
,,462,1,82.04,80.53,-1.51,-0.02,2078.05,5961.56,2.87,2251.86,2285.11,1.01
,,463,1,48.75,87.34,38.58,0.79,2072.34,5676.53,2.74,2249.64,2338.01,1.04
,,464,1,85.57,85.11,-0.46,-0.01,1413.13,2069.60,1.46,2253.21,2343.60,1.04
,,465,1,49.12,85.95,36.83,0.75,1069.43,1307.58,1.22,2258.64,2345.51,1.04
,,466,1,49.38,75.49,26.11,0.53,2057.35,5177.83,2.52,2239.75,2272.59,1.01
,,467,1,49.42,71.40,21.99,0.44,2097.56,3675.46,1.75,2208.29,2311.86,1.05
,,468,1,50.00,86.48,36.48,0.73,2062.75,5250.20,2.55,2221.71,2092.39,0.94
,,469,1,49.78,86.68,36.90,0.74,1306.62,5478.55,4.19,2138.05,2317.73,1.08
,,470,1,85.02,85.32,0.31,0.00,1027.69,2345.60,2.28,2184.90,2350.32,1.08
,,471,1,50.00,86.11,36.11,0.72,3703.41,9246.12,2.50,2057.98,1854.65,0.90
,,472,1,50.00,86.65,36.65,0.73,5260.16,9258.80,1.76,2011.11,2093.58,1.04
,,473,1,50.00,86.84,36.84,0.74,3915.45,7798.38,1.99,2097.29,2064.87,0.98
,,474,1,50.00,86.50,36.50,0.73,5303.07,8326.77,1.57,2099.40,2096.47,1.00
,,475,1,n.a.,84.26,84.26,n.a.,8088.73,13165.97,1.63,2103.47,2095.94,1.00
,,476,1,n.a.,86.20,86.20,n.a.,5301.10,10134.72,1.91,1997.91,2098.50,1.05
,,477,1,n.a.,87.08,87.08,n.a.,3982.20,8876.97,2.23,1998.46,2069.23,1.04
,,478,1,n.a.,86.26,86.26,n.a.,3956.88,8405.15,2.12,1996.23,2069.35,1.04
,,479,1,n.a.,85.93,85.93,n.a.,6592.55,12251.46,1.86,1999.56,2069.87,1.04
,Failed,480,1,n.a.,0.00,0.00,n.a.,1300.46,2257.56,1.73,2261.88,2348.53,1.04
,,481,1,50.00,50.00,0.00,0.00,1062.77,1480.36,1.39,2182.29,2349.58,1.08
,,482,1,n.a.,0.00,0.00,n.a.,2089.21,1451.98,0.69,2184.26,2044.23,0.94
,Normal,483,-,87.38,-,-,-,1951.87,1984.37,1.02,2260.38,2347.84,1.04
,,484,-,83.14,-,-,-,2022.07,2036.59,1.01,2191.92,2088.60,0.95
,,485,-,86.87,-,-,-,2035.08,2050.14,1.01,2238.83,2260.66,1.01
,,486,-,87.52,-,-,-,2021.87,2059.32,1.02,2260.22,2343.19,1.04
,,487,-,88.73,-,-,-,2084.04,2104.76,1.01,2285.48,2316.48,1.01
,,488,-,86.79,-,-,-,2210.40,2107.84,0.95,2272.63,2362.69,1.04
,,489,-,73.77,-,-,-,1549.80,1570.35,1.01,2272.40,2359.53,1.04
,,490,-,74.57,-,-,-,1055.20,1097.91,1.04,2257.81,2344.64,1.04
,,491,-,85.53,-,-,-,994.94,1012.93,1.02,2240.48,2273.93,1.01
,,492,-,82.50,-,-,-,2040.24,2066.87,1.01,2235.98,2270.60,1.02
,,493,-,87.43,-,-,-,1992.50,2037.83,1.02,2205.86,2315.84,1.05
,,494,-,88.36,-,-,-,1912.43,1932.25,1.01,2093.07,2180.20,1.04
,,495,-,86.47,-,-,-,1904.57,1919.57,1.01,2099.38,2187.63,1.04
