Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,67,-,81.00,-,-,-,12.19,13.70,1.12,1565.70,1565.70,1.00
,,68,-,81.67,-,-,-,17.94,20.87,1.16,1565.97,1564.45,1.00
,,69,-,71.00,-,-,-,10.20,10.75,1.05,1566.16,1566.70,1.00
,,70,-,70.67,-,-,-,18.26,19.90,1.09,1566.20,1566.20,1.00
,,71,-,82.00,-,-,-,16.15,17.51,1.08,1563.45,1563.95,1.00
,,72,-,80.33,-,-,-,14.50,15.98,1.10,1563.45,1563.45,1.00
,,73,-,69.67,-,-,-,10.26,11.17,1.09,1565.20,1565.20,1.00
,,74,-,84.00,-,-,-,9.59,10.97,1.14,1564.70,1564.70,1.00
,,75,-,83.33,-,-,-,20.34,23.14,1.14,1570.20,1566.45,1.00
,,76,-,69.67,-,-,-,10.61,12.54,1.18,1574.94,1573.69,1.00
,,77,-,84.00,-,-,-,30.76,31.09,1.01,1574.19,1574.19,1.00
,,78,-,77.33,-,-,-,19.58,21.48,1.10,1577.37,1575.94,1.00
,,79,-,73.67,-,-,-,10.97,12.49,1.14,1575.45,1577.45,1.00
,,80,-,69.33,-,-,-,10.86,11.66,1.07,1574.45,1575.45,1.00
,,81,-,83.00,-,-,-,24.22,26.07,1.08,1573.64,1573.89,1.00
,,82,-,71.67,-,-,-,10.34,11.22,1.09,1573.14,1574.89,1.00
,,83,-,71.33,-,-,-,17.05,17.03,1.00,1575.39,1575.39,1.00
,,84,-,72.67,-,-,-,9.24,10.69,1.16,1573.45,1573.45,1.00
,,85,-,81.00,-,-,-,16.71,17.84,1.07,1577.20,1577.02,1.00
,,86,-,73.67,-,-,-,17.89,19.24,1.08,1573.20,1573.20,1.00
,,87,-,81.67,-,-,-,11.24,12.04,1.07,1575.95,1575.95,1.00
Circle,Repaired,88,1,50.00,87.00,37.00,0.74,22.96,41.97,1.83,1281.22,1258.49,0.98
,,89,1,50.33,86.33,36.00,0.72,3.88,9.66,2.49,1291.63,1291.44,1.00
,,90,1,50.33,88.00,37.67,0.75,45.31,69.74,1.54,1314.95,1317.02,1.00
,,91,1,51.67,60.67,9.00,0.17,25.36,47.09,1.86,1316.70,1316.12,1.00
,,92,1,54.00,89.00,35.00,0.65,4.67,14.53,3.11,1324.65,1321.11,1.00
,,93,1,87.33,86.33,-1.00,-0.01,22.98,71.85,3.13,1325.53,1326.22,1.00
,,94,2,49.67,78.00,28.33,0.57,3.50,57.18,16.35,1332.55,1332.32,1.00
,,95,1,50.67,71.67,21.00,0.41,4.23,10.95,2.59,1328.80,1328.80,1.00
