val_loss,val_accuracy,loss,accuracy
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
nan,0.0,nan,0.0
